timeStep	iteration	relativeResidual	absoluteResidual
1	96	(1.000000e-95	1.000000e-96)
1	97	(1.000000e-96	1.000000e-97)
1	98	(1.000000e-97	1.000000e-98)
1	99	(1.000000e-98	1.000000e-99)
1	100	(1.000000e-99	1.000000e-100)
2	1	(1.000000e+00	1.000000e-01)
2	2	(1.000000e-01	1.000000e-02)
2	3	(1.000000e-02	1.000000e-03)
2	4	(1.000000e-03	1.000000e-04)
2	5	(1.000000e-04	1.000000e-05)
2	6	(1.000000e-05	1.000000e-06)
2	7	(1.000000e-06	1.000000e-07)
2	8	(1.000000e-07	1.000000e-08)
2	9	(1.000000e-08	1.000000e-09)
2	10	(1.000000e-09	1.000000e-10)
2	11	(1.000000e-10	1.000000e-11)
2	12	(1.000000e-11	1.000000e-12)
2	13	(1.000000e-12	1.000000e-13)
2	14	(1.000000e-13	1.000000e-14)
2	15	(1.000000e-14	1.000000e-15)
2	16	(1.000000e-15	1.000000e-16)
2	17	(1.000000e-16	1.000000e-17)
2	18	(1.000000e-17	1.000000e-18)
2	19	(1.000000e-18	1.000000e-19)
2	20	(1.000000e-19	1.000000e-20)
2	21	(1.000000e-20	1.000000e-21)
2	22	(1.000000e-21	1.000000e-22)
2	23	(1.000000e-22	1.000000e-23)
2	24	(1.000000e-23	1.000000e-24)
2	25	(1.000000e-24	1.000000e-25)
2	26	(1.000000e-25	1.000000e-26)
2	27	(1.000000e-26	1.000000e-27)
2	28	(1.000000e-27	1.000000e-28)
2	29	(1.000000e-28	1.000000e-29)
2	30	(1.000000e-29	1.000000e-30)
2	31	(1.000000e-30	1.000000e-31)
2	32	(1.000000e-31	1.000000e-32)
2	33	(1.000000e-32	1.000000e-33)
2	34	(1.000000e-33	1.000000e-34)
2	35	(1.000000e-34	1.000000e-35)
2	36	(1.000000e-35	1.000000e-36)
2	37	(1.000000e-36	1.000000e-37)
2	38	(1.000000e-37	1.000000e-38)
2	39	(1.000000e-38	1.000000e-39)
2	40	(1.000000e-39	1.000000e-40)
2	41	(1.000000e-40	1.000000e-41)
2	42	(1.000000e-41	1.000000e-42)
2	43	(1.000000e-42	1.000000e-43)
2	44	(1.000000e-43	1.000000e-44)
2	45	(1.000000e-44	1.000000e-45)
2	46	(1.000000e-45	1.000000e-46)
2	47	(1.000000e-46	1.000000e-47)
2	48	(1.000000e-47	1.000000e-48)
2	49	(1.000000e-48	1.000000e-49)
2	50	(1.000000e-49	1.000000e-50)
2	51	(1.000000e-50	1.000000e-51)
2	52	(1.000000e-51	1.000000e-52)
2	53	(1.000000e-52	1.000000e-53)
2	54	(1.000000e-53	1.000000e-54)
2	55	(1.000000e-54	1.000000e-55)
2	56	(1.000000e-55	1.000000e-56)
2	57	(1.000000e-56	1.000000e-57)
2	58	(1.000000e-57	1.000000e-58)
2	59	(1.000000e-58	1.000000e-59)
2	60	(1.000000e-59	1.000000e-60)
2	61	(1.000000e-60	1.000000e-61)
2	62	(1.000000e-61	1.000000e-62)
2	63	(1.000000e-62	1.000000e-63)
2	64	(1.000000e-63	1.000000e-64)
2	65	(1.000000e-64	1.000000e-65)
2	66	(1.000000e-65	1.000000e-66)
2	67	(1.000000e-66	1.000000e-67)
2	68	(1.000000e-67	1.000000e-68)
2	69	(1.000000e-68	1.000000e-69)
2	70	(1.000000e-69	1.000000e-70)
2	71	(1.000000e-70	1.000000e-71)
2	72	(1.000000e-71	1.000000e-72)
2	73	(1.000000e-72	1.000000e-73)
2	74	(1.000000e-73	1.000000e-74)
2	75	(1.000000e-74	1.000000e-75)
2	76	(1.000000e-75	1.000000e-76)
2	77	(1.000000e-76	1.000000e-77)
2	78	(1.000000e-77	1.000000e-78)
2	79	(1.000000e-78	1.000000e-79)
2	80	(1.000000e-79	1.000000e-80)
2	81	(1.000000e-80	1.000000e-81)
2	82	(1.000000e-81	1.000000e-82)
2	83	(1.000000e-82	1.000000e-83)
2	84	(1.000000e-83	1.000000e-84)
2	85	(1.000000e-84	1.000000e-85)
2	86	(1.000000e-85	1.000000e-86)
2	87	(1.000000e-86	1.000000e-87)
2	88	(1.000000e-87	1.000000e-88)
2	89	(1.000000e-88	1.000000e-89)
2	90	(1.000000e-89	1.000000e-90)
2	91	(1.000000e-90	1.000000e-91)
2	92	(1.000000e-91	1.000000e-92)
2	93	(1.000000e-92	1.000000e-93)
2	94	(1.000000e-93	1.000000e-94)
2	95	(1.000000e-94	1.000000e-95)
2	96	(1.000000e-95	1.000000e-96)
2	97	(1.000000e-96	1.000000e-97)
2	98	(1.000000e-97	1.000000e-98)
2	99	(1.000000e-98	1.000000e-99)
2	100	(1.000000e-99	1.000000e-100)
3	1	(1.000000e+00	1.000000e-01)
3	2	(1.000000e-01	1.000000e-02)
3	3	(1.000000e-02	1.000000e-03)
3	4	(1.000000e-03	1.000000e-04)
3	5	(1.000000e-04	1.000000e-05)
3	6	(1.000000e-05	1.000000e-06)
3	7	(1.000000e-06	1.000000e-07)
3	8	(1.000000e-07	1.000000e-08)
3	9	(1.000000e-08	1.000000e-09)
3	10	(1.000000e-09	1.000000e-10)
3	11	(1.000000e-10	1.000000e-11)
3	12	(1.000000e-11	1.000000e-12)
3	13	(1.000000e-12	1.000000e-13)
3	14	(1.000000e-13	1.000000e-14)
3	15	(1.000000e-14	1.000000e-15)
3	16	(1.000000e-15	1.000000e-16)
3	17	(1.000000e-16	1.000000e-17)
3	18	(1.000000e-17	1.000000e-18)
3	19	(1.000000e-18	1.000000e-19)
3	20	(1.000000e-19	1.000000e-20)
3	21	(1.000000e-20	1.000000e-21)
3	22	(1.000000e-21	1.000000e-22)
3	23	(1.000000e-22	1.000000e-23)
3	24	(1.000000e-23	1.000000e-24)
3	25	(1.000000e-24	1.000000e-25)
3	26	(1.000000e-25	1.000000e-26)
3	27	(1.000000e-26	1.000000e-27)
3	28	(1.000000e-27	1.000000e-28)
3	29	(1.000000e-28	1.000000e-29)
3	30	(1.000000e-29	1.000000e-30)
3	31	(1.000000e-30	1.000000e-31)
3	32	(1.000000e-31	1.000000e-32)
3	33	(1.000000e-32	1.000000e-33)
3	34	(1.000000e-33	1.000000e-34)
3	35	(1.000000e-34	1.000000e-35)
3	36	(1.000000e-35	1.000000e-36)
3	37	(1.000000e-36	1.000000e-37)
3	38	(1.000000e-37	1.000000e-38)
3	39	(1.000000e-38	1.000000e-39)
3	40	(1.000000e-39	1.000000e-40)
3	41	(1.000000e-40	1.000000e-41)
3	42	(1.000000e-41	1.000000e-42)
3	43	(1.000000e-42	1.000000e-43)
3	44	(1.000000e-43	1.000000e-44)
3	45	(1.000000e-44	1.000000e-45)
3	46	(1.000000e-45	1.000000e-46)
3	47	(1.000000e-46	1.000000e-47)
3	48	(1.000000e-47	1.000000e-48)
3	49	(1.000000e-48	1.000000e-49)
3	50	(1.000000e-49	1.000000e-50)
3	51	(1.000000e-50	1.000000e-51)
3	52	(1.000000e-51	1.000000e-52)
3	53	(1.000000e-52	1.000000e-53)
3	54	(1.000000e-53	1.000000e-54)
3	55	(1.000000e-54	1.000000e-55)
3	56	(1.000000e-55	1.000000e-56)
3	57	(1.000000e-56	1.000000e-57)
3	58	(1.000000e-57	1.000000e-58)
3	59	(1.000000e-58	1.000000e-59)
3	60	(1.000000e-59	1.000000e-60)
3	61	(1.000000e-60	1.000000e-61)
3	62	(1.000000e-61	1.000000e-62)
3	63	(1.000000e-62	1.000000e-63)
3	64	(1.000000e-63	1.000000e-64)
3	65	(1.000000e-64	1.000000e-65)
3	66	(1.000000e-65	1.000000e-66)
3	67	(1.000000e-66	1.000000e-67)
3	68	(1.000000e-67	1.000000e-68)
3	69	(1.000000e-68	1.000000e-69)
3	70	(1.000000e-69	1.000000e-70)
3	71	(1.000000e-70	1.000000e-71)
3	72	(1.000000e-71	1.000000e-72)
3	73	(1.000000e-72	1.000000e-73)
3	74	(1.000000e-73	1.000000e-74)
3	75	(1.000000e-74	1.000000e-75)
3	76	(1.000000e-75	1.000000e-76)
3	77	(1.000000e-76	1.000000e-77)
3	78	(1.000000e-77	1.000000e-78)
3	79	(1.000000e-78	1.000000e-79)
3	80	(1.000000e-79	1.000000e-80)
3	81	(1.000000e-80	1.000000e-81)
3	82	(1.000000e-81	1.000000e-82)
3	83	(1.000000e-82	1.000000e-83)
3	84	(1.000000e-83	1.000000e-84)
3	85	(1.000000e-84	1.000000e-85)
3	86	(1.000000e-85	1.000000e-86)
3	87	(1.000000e-86	1.000000e-87)
3	88	(1.000000e-87	1.000000e-88)
3	89	(1.000000e-88	1.000000e-89)
3	90	(1.000000e-89	1.000000e-90)
3	91	(1.000000e-90	1.000000e-91)
3	92	(1.000000e-91	1.000000e-92)
3	93	(1.000000e-92	1.000000e-93)
3	94	(1.000000e-93	1.000000e-94)
3	95	(1.000000e-94	1.000000e-95)
3	96	(1.000000e-95	1.000000e-96)
3	97	(1.000000e-96	1.000000e-97)
3	98	(1.000000e-97	1.000000e-98)
3	99	(1.000000e-98	1.000000e-99)
3	100	(1.000000e-99	1.000000e-100)
4	1	(1.000000e+00	1.000000e-01)
4	2	(1.000000e-01	1.000000e-02)
4	3	(1.000000e-02	1.000000e-03)
4	4	(1.000000e-03	1.000000e-04)
4	5	(1.000000e-04	1.000000e-05)
4	6	(1.000000e-05	1.000000e-06)
4	7	(1.000000e-06	1.000000e-07)
4	8	(1.000000e-07	1.000000e-08)
4	9	(1.000000e-08	1.000000e-09)
4	10	(1.000000e-09	1.000000e-10)
4	11	(1.000000e-10	1.000000e-11)
4	12	(1.000000e-11	1.000000e-12)
4	13	(1.000000e-12	1.000000e-13)
4	14	(1.000000e-13	1.000000e-14)
4	15	(1.000000e-14	1.000000e-15)
4	16	(1.000000e-15	1.000000e-16)
4	17	(1.000000e-16	1.000000e-17)
4	18	(1.000000e-17	1.000000e-18)
4	19	(1.000000e-18	1.000000e-19)
4	20	(1.000000e-19	1.000000e-20)
4	21	(1.000000e-20	1.000000e-21)
4	22	(1.000000e-21	1.000000e-22)
4	23	(1.000000e-22	1.000000e-23)
4	24	(1.000000e-23	1.000000e-24)
4	25	(1.000000e-24	1.000000e-25)
4	26	(1.000000e-25	1.000000e-26)
4	27	(1.000000e-26	1.000000e-27)
4	28	(1.000000e-27	1.000000e-28)
4	29	(1.000000e-28	1.000000e-29)
4	30	(1.000000e-29	1.000000e-30)
4	31	(1.000000e-30	1.000000e-31)
4	32	(1.000000e-31	1.000000e-32)
4	33	(1.000000e-32	1.000000e-33)
4	34	(1.000000e-33	1.000000e-34)
4	35	(1.000000e-34	1.000000e-35)
4	36	(1.000000e-35	1.000000e-36)
4	37	(1.000000e-36	1.000000e-37)
4	38	(1.000000e-37	1.000000e-38)
4	39	(1.000000e-38	1.000000e-39)
4	40	(1.000000e-39	1.000000e-40)
4	41	(1.000000e-40	1.000000e-41)
4	42	(1.000000e-41	1.000000e-42)
4	43	(1.000000e-42	1.000000e-43)
4	44	(1.000000e-43	1.000000e-44)
4	45	(1.000000e-44	1.000000e-45)
4	46	(1.000000e-45	1.000000e-46)
4	47	(1.000000e-46	1.000000e-47)
4	48	(1.000000e-47	1.000000e-48)
4	49	(1.000000e-48	1.000000e-49)
4	50	(1.000000e-49	1.000000e-50)
4	51	(1.000000e-50	1.000000e-51)
4	52	(1.000000e-51	1.000000e-52)
4	53	(1.000000e-52	1.000000e-53)
4	54	(1.000000e-53	1.000000e-54)
4	55	(1.000000e-54	1.000000e-55)
4	56	(1.000000e-55	1.000000e-56)
4	57	(1.000000e-56	1.000000e-57)
4	58	(1.000000e-57	1.000000e-58)
4	59	(1.000000e-58	1.000000e-59)
4	60	(1.000000e-59	1.000000e-60)
4	61	(1.000000e-60	1.000000e-61)
4	62	(1.000000e-61	1.000000e-62)
4	63	(1.000000e-62	1.000000e-63)
4	64	(1.000000e-63	1.000000e-64)
4	65	(1.000000e-64	1.000000e-65)
4	66	(1.000000e-65	1.000000e-66)
4	67	(1.000000e-66	1.000000e-67)
4	68	(1.000000e-67	1.000000e-68)
4	69	(1.000000e-68	1.000000e-69)
4	70	(1.000000e-69	1.000000e-70)
4	71	(1.000000e-70	1.000000e-71)
4	72	(1.000000e-71	1.000000e-72)
4	73	(1.000000e-72	1.000000e-73)
4	74	(1.000000e-73	1.000000e-74)
4	75	(1.000000e-74	1.000000e-75)
4	76	(1.000000e-75	1.000000e-76)
4	77	(1.000000e-76	1.000000e-77)
4	78	(1.000000e-77	1.000000e-78)
4	79	(1.000000e-78	1.000000e-79)
4	80	(1.000000e-79	1.000000e-80)
4	81	(1.000000e-80	1.000000e-81)
4	82	(1.000000e-81	1.000000e-82)
4	83	(1.000000e-82	1.000000e-83)
4	84	(1.000000e-83	1.000000e-84)
4	85	(1.000000e-84	1.000000e-85)
4	86	(1.000000e-85	1.000000e-86)
4	87	(1.000000e-86	1.000000e-87)
4	88	(1.000000e-87	1.000000e-88)
4	89	(1.000000e-88	1.000000e-89)
4	90	(1.000000e-89	1.000000e-90)
4	91	(1.000000e-90	1.000000e-91)
4	92	(1.000000e-91	1.000000e-92)
4	93	(1.000000e-92	1.000000e-93)
4	94	(1.000000e-93	1.000000e-94)
4	95	(1.000000e-94	1.000000e-95)
4	96	(1.000000e-95	1.000000e-96)
4	97	(1.000000e-96	1.000000e-97)
4	98	(1.000000e-97	1.000000e-98)
4	99	(1.000000e-98	1.000000e-99)
4	100	(1.000000e-99	1.000000e-100)
5	1	(1.000000e+00	1.000000e-01)
5	2	(1.000000e-01	1.000000e-02)
5	3	(1.000000e-02	1.000000e-03)
5	4	(1.000000e-03	1.000000e-04)
5	5	(1.000000e-04	1.000000e-05)
5	6	(1.000000e-05	1.000000e-06)
5	7	(1.000000e-06	1.000000e-07)
5	8	(1.000000e-07	1.000000e-08)
5	9	(1.000000e-08	1.000000e-09)
5	10	(1.000000e-09	1.000000e-10)
5	11	(1.000000e-10	1.000000e-11)
5	12	(1.000000e-11	1.000000e-12)
5	13	(1.000000e-12	1.000000e-13)
5	14	(1.000000e-13	1.000000e-14)
5	15	(1.000000e-14	1.000000e-15)
5	16	(1.000000e-15	1.000000e-16)
5	17	(1.000000e-16	1.000000e-17)
5	18	(1.000000e-17	1.000000e-18)
5	19	(1.000000e-18	1.000000e-19)
5	20	(1.000000e-19	1.000000e-20)
5	21	(1.000000e-20	1.000000e-21)
5	22	(1.000000e-21	1.000000e-22)
5	23	(1.000000e-22	1.000000e-23)
5	24	(1.000000e-23	1.000000e-24)
5	25	(1.000000e-24	1.000000e-25)
5	26	(1.000000e-25	1.000000e-26)
5	27	(1.000000e-26	1.000000e-27)
5	28	(1.000000e-27	1.000000e-28)
5	29	(1.000000e-28	1.000000e-29)
5	30	(1.000000e-29	1.000000e-30)
5	31	(1.000000e-30	1.000000e-31)
5	32	(1.000000e-31	1.000000e-32)
5	33	(1.000000e-32	1.000000e-33)
5	34	(1.000000e-33	1.000000e-34)
5	35	(1.000000e-34	1.000000e-35)
5	36	(1.000000e-35	1.000000e-36)
5	37	(1.000000e-36	1.000000e-37)
5	38	(1.000000e-37	1.000000e-38)
5	39	(1.000000e-38	1.000000e-39)
5	40	(1.000000e-39	1.000000e-40)
5	41	(1.000000e-40	1.000000e-41)
5	42	(1.000000e-41	1.000000e-42)
5	43	(1.000000e-42	1.000000e-43)
5	44	(1.000000e-43	1.000000e-44)
5	45	(1.000000e-44	1.000000e-45)
5	46	(1.000000e-45	1.000000e-46)
5	47	(1.000000e-46	1.000000e-47)
5	48	(1.000000e-47	1.000000e-48)
5	49	(1.000000e-48	1.000000e-49)
5	50	(1.000000e-49	1.000000e-50)
5	51	(1.000000e-50	1.000000e-51)
5	52	(1.000000e-51	1.000000e-52)
5	53	(1.000000e-52	1.000000e-53)
5	54	(1.000000e-53	1.000000e-54)
5	55	(1.000000e-54	1.000000e-55)
5	56	(1.000000e-55	1.000000e-56)
5	57	(1.000000e-56	1.000000e-57)
5	58	(1.000000e-57	1.000000e-58)
5	59	(1.000000e-58	1.000000e-59)
5	60	(1.000000e-59	1.000000e-60)
5	61	(1.000000e-60	1.000000e-61)
5	62	(1.000000e-61	1.000000e-62)
5	63	(1.000000e-62	1.000000e-63)
5	64	(1.000000e-63	1.000000e-64)
5	65	(1.000000e-64	1.000000e-65)
5	66	(1.000000e-65	1.000000e-66)
5	67	(1.000000e-66	1.000000e-67)
5	68	(1.000000e-67	1.000000e-68)
5	69	(1.000000e-68	1.000000e-69)
5	70	(1.000000e-69	1.000000e-70)
5	71	(1.000000e-70	1.000000e-71)
5	72	(1.000000e-71	1.000000e-72)
5	73	(1.000000e-72	1.000000e-73)
5	74	(1.000000e-73	1.000000e-74)
5	75	(1.000000e-74	1.000000e-75)
5	76	(1.000000e-75	1.000000e-76)
5	77	(1.000000e-76	1.000000e-77)
5	78	(1.000000e-77	1.000000e-78)
5	79	(1.000000e-78	1.000000e-79)
5	80	(1.000000e-79	1.000000e-80)
5	81	(1.000000e-80	1.000000e-81)
5	82	(1.000000e-81	1.000000e-82)
5	83	(1.000000e-82	1.000000e-83)
5	84	(1.000000e-83	1.000000e-84)
5	85	(1.000000e-84	1.000000e-85)
5	86	(1.000000e-85	1.000000e-86)
5	87	(1.000000e-86	1.000000e-87)
5	88	(1.000000e-87	1.000000e-88)
5	89	(1.000000e-88	1.000000e-89)
5	90	(1.000000e-89	1.000000e-90)
5	91	(1.000000e-90	1.000000e-91)
5	92	(1.000000e-91	1.000000e-92)
5	93	(1.000000e-92	1.000000e-93)
5	94	(1.000000e-93	1.000000e-94)
5	95	(1.000000e-94	1.000000e-95)
5	96	(1.000000e-95	1.000000e-96)
5	97	(1.000000e-96	1.000000e-97)
5	98	(1.000000e-97	1.000000e-98)
5	99	(1.000000e-98	1.000000e-99)
5	100	(1.000000e-99	1.000000e-100)
